,令和７年５月１日現在,,,設置者別、学校別、学科別　公立高等学校（全日制）の生徒数・学級数（学校一覧）
,学校コード,設置者,所在市区町村,学校名,（学科）,生徒数,,,,,,,,,,学級数,,,
,,,,,,合計,,,１学年,,２学年,,３学年,,,合計,１学年,２学年,３学年
,,,,,,男女,男,女,男,女,男,女,男,女,,,,,
,D114220510048,神奈川県,205藤沢市,藤沢清流,（普通）,819,497,322,161,118,178,95,158,109,,24,8,8,8
,D114220510057,神奈川県,205藤沢市,藤沢総合,（総合）,825,187,638,55,224,49,229,83,185,,24,8,8,8
,D114220510066,神奈川県,205藤沢市,湘南台,（普通）,764,320,444,104,156,110,142,106,146,,21,7,7,7
,D114220610010,神奈川県,206小田原市,小田原,（普通）,952,533,419,190,130,178,143,165,146,,27,9,9,9
,D114220610029,神奈川県,206小田原市,小田原東,（普通）,280,143,137,43,48,45,52,55,37,,9,3,3,3
,D114220610029,神奈川県,206小田原市,小田原東,（商業）,194,100,94,29,28,32,34,39,32,,9,3,3,3
,D114220610038,神奈川県,206小田原市,西湘,（普通）,941,504,437,177,138,166,150,161,149,,24,8,8,8
,D114220610047,神奈川県,206小田原市,小田原城北工業,（工業）,366,280,86,81,30,86,26,113,30,,14,4,4,6
,D114220710019,神奈川県,207茅ヶ崎市,茅ケ崎,（普通）,905,445,460,144,144,156,176,145,140,,25,8,9,8
,D114220710028,神奈川県,207茅ヶ崎市,茅ケ崎北陵,（普通）,824,439,385,151,128,151,126,137,131,,24,8,8,8
,D114220710037,神奈川県,207茅ヶ崎市,鶴嶺,（普通）,1157,505,652,166,222,180,211,159,219,,30,10,10,10
,D114220710046,神奈川県,207茅ヶ崎市,茅ケ崎西浜,（普通）,1027,462,565,159,201,135,207,168,157,,27,9,9,9
,D114220810036,神奈川県,208逗子市,逗子葉山,（普通）,934,485,449,163,156,160,156,162,137,,24,8,8,8
,D114221010014,神奈川県,210三浦市,三浦初声,（普通）,425,175,250,60,88,44,68,71,94,,17,5,5,7
,D114221010014,神奈川県,210三浦市,三浦初声,（農業）,73,49,24,15,9,16,4,18,11,,3,1,1,1
,D114221110013,神奈川県,211秦野市,秦野,（普通）,1068,599,469,190,169,211,145,198,155,,28,9,9,10
,D114221110022,神奈川県,211秦野市,秦野総合,（総合）,643,357,286,119,112,124,106,114,68,,21,7,7,7
,D114221110031,神奈川県,211秦野市,秦野曽屋,（普通）,806,384,422,126,140,119,156,139,126,,21,7,7,7
,D114221210012,神奈川県,212厚木市,厚木,（普通）,1071,612,459,204,157,196,157,212,145,,27,9,9,9
,D114221210076,神奈川県,212厚木市,厚木王子,（普通）,588,224,364,85,114,68,130,71,120,,15,5,5,5
,D114221210076,神奈川県,212厚木市,厚木王子,（商業）,461,167,294,58,101,51,104,58,89,,12,4,4,4
,D114221210049,神奈川県,212厚木市,厚木北,（普通）,700,451,249,151,88,147,89,153,72,,18,6,6,6
,D114221210049,神奈川県,212厚木市,厚木北,（体育）,109,95,14,31,8,33,3,31,3,,3,1,1,1
,D114221210058,神奈川県,212厚木市,厚木清南,（普通）,639,205,434,79,135,61,153,65,146,,27,8,8,11
,D114221210067,神奈川県,212厚木市,厚木西,（普通）,745,402,343,147,112,133,123,122,108,,21,7,7,7
,D114221310011,神奈川県,213大和市,大和,（普通）,826,459,367,139,141,163,110,157,116,,21,7,7,7
,D114221310020,神奈川県,213大和市,大和南,（普通）,927,505,422,188,133,157,150,160,139,,24,8,8,8
,D114221310039,神奈川県,213大和市,大和東,（普通）,595,292,303,128,111,86,104,78,88,,24,8,8,8
,D114221310048,神奈川県,213大和市,大和西,（普通）,828,456,372,137,143,159,118,160,111,,21,7,7,7
,D114221410010,神奈川県,214伊勢原市,伊勢原,（普通）,746,328,418,120,135,102,152,106,131,,21,7,7,7
,D114221410029,神奈川県,214伊勢原市,伊志田,（普通）,852,423,429,144,134,128,143,151,152,,22,7,7,8
,D114221510019,神奈川県,215海老名市,中央農業,（農業）,544,289,255,101,96,101,80,87,79,,15,5,5,5
,D114221510028,神奈川県,215海老名市,海老名,（普通）,1182,635,547,216,184,212,181,207,182,,30,10,10,10
,D114221510037,神奈川県,215海老名市,有馬,（普通）,932,346,586,117,202,112,198,117,186,,24,8,8,8
,D114221610018,神奈川県,216座間市,座間,（普通）,864,492,372,171,108,153,123,168,141,,22,7,7,8
,D114221610027,神奈川県,216座間市,座間総合,（総合）,724,324,400,120,119,100,128,104,153,,21,8,6,7
,D114221710017,神奈川県,217南足柄市,足柄,（普通）,715,384,331,126,97,121,124,137,110,,21,7,7,7
,D114221810016,神奈川県,218綾瀬市,綾瀬,（普通）,960,518,442,170,160,173,142,175,140,,27,9,9,9
,D114221810025,神奈川県,218綾瀬市,綾瀬西,（普通）,874,482,392,171,131,163,130,148,131,,27,9,9,9
,D114232110010,神奈川県,321寒川町,寒川,（普通）,502,225,277,65,105,80,79,80,93,,18,6,6,6
,D114234110016,神奈川県,341大磯町,大磯,（普通）,821,396,425,121,157,133,139,142,129,,21,7,7,7
,D114234210015,神奈川県,342二宮町,二宮,（普通）,653,266,387,83,140,88,139,95,108,,21,7,7,7
,D114236210010,神奈川県,362大井町,大井,（普通）,197,107,90,32,30,37,30,38,30,,10,3,3,4
,D114236410018,神奈川県,364山北町,山北,（普通）,539,342,197,104,76,126,62,112,59,,18,6,6,6
,D114236610016,神奈川県,366開成町,吉田島,（農業）,237,125,112,44,34,39,42,42,36,,9,3,3,3,（注４）
,D114236610016,神奈川県,366開成町,吉田島,（家庭）,98,23,75,6,26,12,25,5,24,,3,1,1,1,（注４）
,D114240110013,神奈川県,401愛川町,愛川,（普通）,503,287,216,93,63,101,73,93,80,,19,7,6,6
,D114210020051,横浜市,101横浜市鶴見区,東,（普通）,816,393,423,127,143,121,155,145,125,,21,7,7,7
,D114210020088,横浜市,101横浜市鶴見区,横浜サイエンスフロンティア,（理数）,702,468,234,153,83,162,73,153,78,,18,6,6,6
,D114210020079,横浜市,104横浜市中区,みなと総合,（総合）,699,110,589,32,206,32,200,46,183,,19,6,6,7
,D114210020060,横浜市,105横浜市南区,横浜商業,（商業）,704,416,288,140,98,133,99,143,91,,18,6,6,6
,D114210020060,横浜市,105横浜市南区,横浜商業,（国際）,113,35,78,14,26,9,30,12,22,,3,1,1,1
,D114210020060,横浜市,105横浜市南区,横浜商業,（別科）,144,60,84,33,41,23,40,4,3,,5,2,2,1
,D114210020024,横浜市,106横浜市保土ケ谷区,桜丘,（普通）,949,526,423,199,121,184,130,143,172,,24,8,8,8
,D114210020033,横浜市,108横浜市金沢区,金沢,（普通）,948,524,424,184,134,170,149,170,141,,24,8,8,8
,D114210020015,横浜市,110横浜市戸塚区,戸塚,（普通）,948,346,602,107,211,117,201,122,190,,24,8,8,8
,D114210020042,横浜市,111横浜市港南区,南,（普通）,578,286,292,105,93,96,94,85,105,,15,5,5,5
,D114213020019,川崎市,131川崎市川崎区,川崎,（普通）,339,111,228,39,76,37,75,35,77,,11,3,4,4
,D114213020019,川崎市,131川崎市川崎区,川崎,（家庭）,115,15,100,4,35,6,33,5,32,,3,1,1,1
,D114213020019,川崎市,131川崎市川崎区,川崎,（福祉）,95,21,74,8,27,7,26,6,21,,3,1,1,1
,D114213020028,川崎市,132川崎市幸区,幸,（普通）,350,180,170,55,63,53,62,72,45,,9,3,3,3
,D114213020028,川崎市,132川崎市幸区,幸,（商業）,351,162,189,47,71,55,63,60,55,,9,3,3,3
,D114213020037,川崎市,132川崎市幸区,川崎総合科学,（工業）,577,420,157,140,54,135,53,145,50,,15,5,5,5
,D114213020037,川崎市,132川崎市幸区,川崎総合科学,（理数）,116,87,29,33,5,28,11,26,13,,3,1,1,1
,D114213020046,川崎市,133川崎市中原区,橘,（普通）,587,297,290,109,89,96,103,92,98,,15,5,5,5
,D114213020046,川崎市,133川崎市中原区,橘,（体育）,115,74,41,25,14,26,11,23,16,,3,1,1,1
,D114213020046,川崎市,133川崎市中原区,橘,（国際）,116,27,89,9,30,8,30,10,29,,3,1,1,1
,D114213020055,川崎市,134川崎市高津区,高津,（普通）,825,373,452,122,156,125,149,126,147,,21,7,7,7
,D114220120013,横須賀市,201横須賀市,横須賀総合,（総合）,955,436,519,154,166,149,170,133,183,,24,8,8,8
,（注１）県立神奈川総合高等学校の学級数（普通）について、各学年のうち５学級は（舞台芸術）との学科混成学級です。
,（注２）県立商工高等学校の学級数について、１学年計８学級は学科混成学級です。※便宜上、学科ごとに計上しています。
,（注３）県立相模原弥栄高等学校の学級数について、１学年及び２学年の各９学級は学科混成学級です。※便宜上、学科ごとに計上しています。
,（注４）県立吉田島高等学校の学級数について、１学年計３学級は学科混成学級です。※便宜上、学科ごとに計上しています。
,,
,,
