高等学校（全日制の生徒数、学級数、教員数、職員数）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高等学校（定時制の生徒数、学級数、教員数、職員数、住所等）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
学校 番号,所在地 区市町村,学校名,全日制,,,,,,,,,,,,定時制等,,,,,,,,,,,,,,郵便番号,住所,電話番号,学校名(フリガナ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,学科,,生徒数,,,,学級数,,,,教員数,職員数,学科,,生徒数,,,,,学級数,,,,,教員数,職員数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,大,小学科名,計,１学年,２学年,３学年,計,１学年,２学年,３学年,,,大,小学科名,計,１学年,２学年,３学年,４学年,計,１学年,２学年,３学年,４学年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402080,渋谷区,広尾,普,普通科,628,238,197,193,16,6,5,5,43,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,150-0011,東4-14-14,03-3400-1761,ヒロオ,,
402210,世田谷区,松原,普,普通科,611,194,186,231,16,5,5,6,38,4,普,普通科,29,6,8,11,4,4,1,1,1,1,9,0,156-0045,桜上水4-3-5,03-3303-5381,マツバラ,,
402220,世田谷区,桜町,普,普通科,904,318,293,293,24,8,8,8,54,5,普,普通科,20,5,8,2,5,4,1,1,1,1,9,0,158-0097,用賀2-4-1,03-3700-4330,サクラマチ,,
402250,世田谷区,千歳丘,普,普通科,771,279,253,239,21,7,7,7,47,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,156-0055,船橋3-18-1,03-3429-7271,チトセガオカ,,
402270,世田谷区,深沢,普,普通科,472,176,155,141,15,5,5,5,43,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,158-0081,深沢7-3-14,03-3702-4145,フカサワ,,
402410,世田谷区,世田谷泉,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科１部,200,57,57,60,26,8,2,2,2,2,57,5,157-0061,北烏山9-22-1,03-3300-6131,セタガヤイズミ,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科２部,207,57,56,59,35,8,2,2,2,2,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科３部,197,55,56,47,39,8,2,2,2,2,0,0,,,,,,
402420,世田谷区,世田谷総合,総,総合学科,678,238,222,218,18,6,6,6,53,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,157-0076,岡本2-9-1,03-3700-4771,セタガヤソウゴウ,,
402520,新宿区,新宿山吹,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科１部（単位制）,110,38,39,25,8,4,1,1,1,1,67,7,162-8612,山吹町81,03-5261-9771,シンジュクヤマブキ,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科２部（単位制）,120,37,39,31,13,4,1,1,1,1,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科３部（単位制）,122,38,38,29,17,4,1,1,1,1,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科４部（単位制）,78,22,22,18,16,4,1,1,1,1,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,情,情報科２部（単位制）,182,55,52,53,22,4,1,1,1,1,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,情,情報科４部（単位制）,59,18,16,15,10,4,1,1,1,1,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,通,通信制本科（普通科）,380,154,112,58,56,11,3,3,3,2,11,1,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,通,通信制併修,10,0,0,0,0,0,0,0,0,0,0,0,,,,,,
402530,世田谷区,芦花,普,普通科（単位制）,818,279,273,266,21,7,7,7,51,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,157-0063,粕谷3-8-1,03-5315-3322,ロカ,,
402620,渋谷区,第一商業,商,ビジネス科,547,194,190,163,18,6,6,6,45,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,150-0035,鉢山町8-1,03-3463-2606,ダイイチショウギョウ,,
402750,世田谷区,総合工科,工,機械・自動車科,95,34,30,31,3,1,1,1,53,4,工,総合技術科,17,5,5,5,2,4,1,1,1,1,13,1,157-0066,成城9-25-1,03-3483-0204,ソウゴウコウカ,,
,,,工,電気・情報デザイン科,126,42,51,33,6,2,2,2,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,工,建築・都市工学科,118,49,39,30,6,2,2,2,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
402810,世田谷区,園芸,農,園芸科,204,71,70,63,6,2,2,2,47,7,農,園芸科,29,10,8,7,4,4,1,1,1,1,11,0,158-8566,深沢5-38-1,03-3705-2154,エンゲイ,,
,,,農,食品科,103,36,34,33,3,1,1,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,農,動物科,106,36,36,34,3,1,1,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
402930,目黒区,国際,他,国際学科,716,237,239,240,18,6,6,6,68,6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,153-0041,駒場2-19-59,03-3468-6811,コクサイ,,
402940,新宿区,総合芸術,他,美術科（単位制）,242,82,82,78,6,2,2,2,44,5,-,-,0,0,0,0,0,0,0,0,0,0,0,0,162-0067,富久町22-1,03-3354-5288,ソウゴウゲイジュツ,,
,,,他,音楽科（単位制）,117,42,42,33,3,1,1,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,他,舞台表現科（単位制）,127,42,42,43,3,1,1,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
403010,中野区,鷺宮,普,普通科,805,277,269,259,21,7,7,7,48,6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,165-0033,若宮3-46-8,03-3330-0101,サギノミヤ,,
403020,中野区,富士,普,普通科,418,157,151,110,11,4,4,3,34,3,-,-,0,0,0,0,0,0,0,0,0,0,0,0,164-0013,弥生町5-21-1,03-3382-0601,フジ,,
403030,中野区,武蔵丘,普,普通科,947,318,321,308,24,8,8,8,52,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,165-0031,上鷺宮2-14-1,03-3999-9308,ムサシガオカ,,
403040,杉並区,荻窪,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科１部（単位制）,289,76,85,89,39,12,3,3,3,3,70,7,167-0051,荻窪5-7-20,03-3392-6436,オギクボ,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科２部（単位制）,279,74,78,81,46,12,3,3,3,3,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,普,普通科３部（単位制）,111,17,36,35,23,8,2,2,2,2,0,0,,,,,,
403050,杉並区,西,普,普通科,952,318,325,309,24,8,8,8,56,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,168-0081,宮前4-21-32,03-3333-7771,ニシ,,
403060,杉並区,豊多摩,普,普通科,949,323,306,320,24,8,8,8,52,6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,166-0016,成田西2-6-18,03-3393-1331,トヨタマ,,
403070,杉並区,杉並,普,普通科,937,317,316,304,24,8,8,8,53,6,-,-,0,0,0,0,0,0,0,0,0,0,0,0,166-0016,成田西4-15-15,03-3391-6530,スギナミ,,
403210,練馬区,石神井,普,普通科,871,278,278,315,22,7,7,8,48,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,177-0051,関町北4-32-48,03-3929-0831,シャクジイ,,
403220,練馬区,井草,普,普通科,859,279,274,306,22,7,7,8,50,5,-,-,0,0,0,0,0,0,0,0,0,0,0,0,177-0044,上石神井2-2-43,03-3920-0319,イグサ,,
403230,練馬区,大泉,普,普通科,366,156,110,100,10,4,3,3,30,3,-,-,0,0,0,0,0,0,0,0,0,0,0,0,178-0063,東大泉5-3-1,03-3924-0318,オオイズミ,,
403240,練馬区,練馬,普,普通科,676,238,224,214,18,6,6,6,43,5,-,-,0,0,0,0,0,0,0,0,0,0,0,0,179-8908,春日町4-28-25,03-3990-8643,ネリマ,,
403250,練馬区,光丘,普,普通科,607,204,212,191,18,6,6,6,42,5,-,-,0,0,0,0,0,0,0,0,0,0,0,0,179-0071,旭町2-1-35,03-3977-1501,ヒカリガオカ,,
403280,練馬区,田柄,普,普通科,442,160,165,117,15,5,5,5,47,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,179-0072,光が丘2-3-1,03-3977-2555,タガラ,,
403410,杉並区,杉並総合,総,総合学科,696,237,231,228,18,6,6,6,50,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,168-0073,下高井戸5-17-1,03-3303-1003,スギナミソウゴウ,,
403420,中野区,稔ヶ丘,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科１部,274,86,84,78,26,12,3,3,3,3,69,6,165-0031,上鷺宮5-11-1,03-3990-4226,ミノリガオカ,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科２部,286,88,82,79,37,12,3,3,3,3,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科３部,199,58,55,52,34,8,2,2,2,2,0,0,,,,,,
403510,練馬区,大泉桜,普,普通科（単位制）,564,196,194,174,15,5,5,5,44,5,-,-,0,0,0,0,0,0,0,0,0,0,0,0,178-0062,大泉町3-5-7,03-3978-1180,オオイズミサクラ,,
403630,練馬区,第四商業,商,ビジネス科,459,155,151,153,15,5,5,5,39,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,176-0021,貫井3-45-19,03-3990-4221,ダイヨンショウギョウ,,
403710,中野区,中野工科,工,キャリア技術科,95,0,0,95,4,0,0,4,50,4,工,総合技術科,16,2,7,6,1,4,1,1,1,1,18,0,165-0027,野方3-5-5,03-3385-7445,ナカノコウカ,,
,,,工,食品サイエンス科,235,123,112,0,8,4,4,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
403720,杉並区,杉並工科,工,機械科,20,0,0,20,2,0,0,2,44,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,167-0023,上井草4-13-31,03-3394-2471,スギナミコウカ,,
,,,工,電子科,25,0,0,25,1,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,工,理工環境科,17,0,0,17,1,0,0,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,工,ＩＴ・環境科,123,57,66,0,8,4,4,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
403730,練馬区,練馬工科,工,キャリア技術科,418,130,157,131,15,5,5,5,57,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,179-8909,早宮2-9-18,03-3932-9251,ネリマコウカ,,
403810,杉並区,農芸,農,園芸科学科,108,36,37,35,3,1,1,1,47,7,農,農芸科,20,6,5,5,4,4,1,1,1,1,13,1,167-0035,今川3-25-1,03-3399-0191,ノウゲイ,,
,,,農,緑地環境科,95,35,34,26,3,1,1,1,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,農,食品科学科,198,71,62,65,6,2,2,2,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
404010,文京区,竹早,普,普通科,738,274,238,226,19,7,6,6,45,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,112-0002,小石川4-2-1,03-3811-6961,タケハヤ,,
404020,文京区,向丘,普,普通科,863,277,277,309,22,7,7,8,52,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,113-0023,向丘1-11-18,03-3811-2022,ムコウガオカ,,
404040,豊島区,豊島,普,普通科,945,318,315,312,24,8,8,8,54,5,普,普通科,41,17,12,6,6,4,1,1,1,1,8,0,171-0044,千早4-9-21,03-3958-0121,トシマ,,
404050,豊島区,文京,普,普通科,1043,357,349,337,27,9,9,9,65,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,170-0001,西巣鴨1-1-5,03-3910-8231,ブンキョウ,,
404210,板橋区,北園,普,普通科,951,319,322,310,24,8,8,8,54,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,173-0004,板橋4-14-1,03-3962-7885,キタゾノ,,
404220,板橋区,板橋,普,普通科,860,280,278,302,22,7,7,8,46,5,-,-,0,0,0,0,0,0,0,0,0,0,0,0,173-0035,大谷口1-54-1,03-3973-3150,イタバシ,,
404250,板橋区,大山,普,普通科,478,152,160,166,17,5,6,6,44,4,普,普通科,25,6,6,4,9,4,1,1,1,1,9,1,173-0037,小茂根5-18-1,03-3958-2121,オオヤマ,,
404260,板橋区,高島,普,普通科,934,318,312,304,24,8,8,8,52,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,175-0082,高島平3-7-1,03-3938-3125,タカシマ,,
404410,北区,桐ヶ丘,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科１部,201,56,58,57,30,8,2,2,2,2,56,4,115-0052,赤羽北3-5-22,03-3906-2173,キリガオカ,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科２部,215,56,57,57,45,8,2,2,2,2,0,0,,,,,,
,,,-,-,0,0,0,0,0,0,0,0,0,0,総,総合学科３部,184,60,50,37,37,8,2,2,2,2,0,0,,,,,,
404420,北区,王子総合,総,総合学科,691,237,235,219,18,6,6,6,53,4,-,-,0,0,0,0,0,0,0,0,0,0,0,0,114-0023,滝野川3－54－7,03-3576-0602,オウジソウゴウ,,
