school_code,school_name,municipality,lat,lon,primary_station,primary_distance_m,primary_lines,source,access_stations,access_lines
404210,北園,板橋区,35.750793,139.716187,新板橋,360,東京都 6号線三田線,算出,新板橋(360m);板橋区役所前(556m);下板橋(639m);板橋(696m);北池袋(1163m);十条(1199m);大山(1252m);西巣鴨(1398m);板橋本町(1492m);西ヶ原四丁目(1658m);新庚申塚(1672m);東十条(1735m);庚申塚(1772m);滝野川一丁目(1778m);飛鳥山(1909m);王子(1972m),東京都 6号線三田線;東武鉄道 東上本線;東日本旅客鉄道 赤羽線;東京都 荒川線;東日本旅客鉄道 東北線;東京地下鉄 7号線南北線
404220,板橋,板橋区,35.741955,139.689667,千川,421,東京地下鉄 8号線有楽町線;東京地下鉄 13号線副都心線,算出,千川(421m);小竹向原(930m);要町(1256m);大山(1372m);東長崎(1455m);江古田(1603m);中板橋(1649m);椎名町(1770m);ときわ台(1887m);新桜台(1907m),東京地下鉄 8号線有楽町線;東京地下鉄 13号線副都心線;西武鉄道 西武有楽町線;東武鉄道 東上本線;西武鉄道 池袋線
404250,大山,板橋区,35.753635,139.674683,氷川台,944,東京地下鉄 8号線有楽町線,算出,氷川台(944m);上板橋(1118m);小竹向原(1219m);ときわ台(1399m);新桜台(1511m);中板橋(1802m);江古田(1806m);平和台(1890m);桜台(1993m);東武練馬(1997m),東京地下鉄 8号線有楽町線;東武鉄道 東上本線;西武鉄道 西武有楽町線;東京地下鉄 13号線副都心線;西武鉄道 池袋線
404260,高島,板橋区,35.786797,139.653397,新高島平,390,東京都 6号線三田線,算出,新高島平(390m);高島平(751m);西高島平(897m);西台(1740m);下赤塚(1971m),東京都 6号線三田線;東武鉄道 東上本線
404410,桐ヶ丘,北区,35.781815,139.70668,北赤羽,579,東日本旅客鉄道 東北線,算出,北赤羽(579m);志村坂上(1238m);赤羽(1381m);赤羽岩淵(1402m);本蓮沼(1485m);浮間舟渡(1727m);志村三丁目(1939m),東日本旅客鉄道 東北線;東京都 6号線三田線;東日本旅客鉄道 赤羽線;埼玉高速鉄道 埼玉高速鉄道線;東京地下鉄 7号線南北線
404420,王子総合,北区,35.746979,139.730362,西ヶ原四丁目,370,東京都 荒川線,算出,西ヶ原四丁目(370m);西巣鴨(423m);滝野川一丁目(457m);新庚申塚(653m);飛鳥山(716m);庚申塚(876m);王子駅前(955m);王子(977m);新板橋(1014m);板橋(1031m);西ヶ原(1080m);栄町(1153m);巣鴨新田(1333m);下板橋(1348m);上中里(1437m);北池袋(1461m);梶原(1595m);十条(1661m);巣鴨(1673m);大塚(1704m);大塚駅前(1710m);板橋区役所前(1895m);東十条(1902m);駒込(1944m),東京都 荒川線;東京都 6号線三田線;東京地下鉄 7号線南北線;東日本旅客鉄道 東北線;東日本旅客鉄道 赤羽線;東武鉄道 東上本線;東日本旅客鉄道 山手線
404510,飛鳥,北区,35.762428,139.738785,王子神谷,406,東京地下鉄 7号線南北線,算出,王子神谷(406m);王子(1013m);王子駅前(1080m);東十条(1097m);栄町(1325m);飛鳥山(1381m);梶原(1478m);十条(1509m);滝野川一丁目(1709m);荒川車庫前(1804m);志茂(1825m);上中里(1856m);西ヶ原(1859m),東京地下鉄 7号線南北線;東日本旅客鉄道 東北線;東京都 荒川線;東日本旅客鉄道 赤羽線
404520,板橋有徳,板橋区,35.772072,139.660889,東武練馬,409,東武鉄道 東上本線,算出,東武練馬(409m);下赤塚(1458m);地下鉄赤塚(1574m);上板橋(1671m);平和台(1720m);高島平(1875m);西台(1979m),東武鉄道 東上本線;東京地下鉄 8号線有楽町線;東京都 6号線三田線
404640,千早,豊島区,35.736462,139.684937,千川,446,東京地下鉄 8号線有楽町線;東京地下鉄 13号線副都心線,算出,千川(446m);東長崎(739m);小竹向原(913m);江古田(1102m);要町(1275m);新江古田(1370m);椎名町(1395m);落合南長崎(1455m);新桜台(1560m),東京地下鉄 8号線有楽町線;東京地下鉄 13号線副都心線;西武鉄道 池袋線;西武鉄道 西武有楽町線;東京都 12号線大江戸線
404710,工芸,文京区,35.702507,139.755676,水道橋,119,東京都 6号線三田線;東日本旅客鉄道 中央線,算出,水道橋(119m);本郷三丁目(672m);後楽園(709m);神保町(792m);春日(798m);九段下(856m);御茶ノ水(876m);飯田橋(1006m);新御茶ノ水(1079m);小川町(1290m);竹橋(1354m);淡路町(1361m);湯島(1376m);末広町(1454m);上野広小路(1661m);上野御徒町(1671m);秋葉原(1717m);東大前(1746m);神田(1773m);牛込神楽坂(1782m);御徒町(1796m);根津(1882m);仲御徒町(1909m);神楽坂(1916m);岩本町(1932m),東京都 6号線三田線;東日本旅客鉄道 中央線;東京地下鉄 4号線丸ノ内線;東京都 12号線大江戸線;東京地下鉄 7号線南北線;東京地下鉄 11号線半蔵門線;東京都 10号線新宿線;東京地下鉄 5号線東西線;東日本旅客鉄道 総武線;東京地下鉄 8号線有楽町線;東京地下鉄 9号線千代田線;東京地下鉄 3号線銀座線;首都圏新都市鉄道 常磐新線;東京地下鉄 2号線日比谷線;東日本旅客鉄道 東北線
404730,北豊島工科,板橋区,35.76033,139.697296,中板橋,521,東武鉄道 東上本線,算出,中板橋(521m);板橋本町(755m);ときわ台(786m);本蓮沼(1056m);大山(1410m);板橋区役所前(1527m);志村坂上(1795m);上板橋(1938m),東武鉄道 東上本線;東京都 6号線三田線
